Episode  402 finished with a total reward of 20.0 | Running Average: 9.60
Episode  403 finished with a total reward of 15.0 | Running Average: 9.90
Episode  404 finished with a total reward of 4.0 | Running Average: 9.90
Episode  405 finished with a total reward of 5.0 | Running Average: 8.60
Episode  406 finished with a total reward of 14.0 | Running Average: 8.50
Episode  407 finished with a total reward of 17.0 | Running Average: 10.00
Episode  408 finished with a total reward of 4.0 | Running Average: 10.20
Episode  409 finished with a total reward of -8.0 | Running Average: 9.30
Episode  410 finished with a total reward of 10.0 | Running Average: 10.10
Episode  411 finished with a total reward of 9.0 | Running Average: 9.80
Episode  412 finished with a total reward of 18.0 | Running Average: 9.00
Episode  413 finished with a total reward of 19.0 | Running Average: 8.80
Episode  414 finished with a total reward of 4.0 | Running Average: 9.20
Episode  415 finished with a total reward of 16.0 | Running Average: 9.20
Episode  416 finished with a total reward of 8.0 | Running Average: 10.30
Episode  417 finished with a total reward of -1.0 | Running Average: 9.70
Episode  418 finished with a total reward of 2.0 | Running Average: 7.90
Episode  419 finished with a total reward of 4.0 | Running Average: 7.70
Episode  420 finished with a total reward of 11.0 | Running Average: 8.90
Episode  421 finished with a total reward of 11.0 | Running Average: 9.00
Episode  422 finished with a total reward of 4.0 | Running Average: 9.20
Episode  423 finished with a total reward of -1.0 | Running Average: 7.80
Episode  424 finished with a total reward of 18.0 | Running Average: 5.80
Episode  425 finished with a total reward of 19.0 | Running Average: 7.20
Episode  426 finished with a total reward of -1.0 | Running Average: 7.50
Episode  427 finished with a total reward of 16.0 | Running Average: 6.60
Episode  428 finished with a total reward of 16.0 | Running Average: 8.30
Episode  429 finished with a total reward of 12.0 | Running Average: 9.70
Episode  430 finished with a total reward of 5.0 | Running Average: 10.50
Episode  431 finished with a total reward of 16.0 | Running Average: 9.90
Episode  432 finished with a total reward of 17.0 | Running Average: 10.40
Episode  433 finished with a total reward of 10.0 | Running Average: 11.70
Episode  434 finished with a total reward of 12.0 | Running Average: 12.80
Episode  435 finished with a total reward of 13.0 | Running Average: 12.20
Episode  436 finished with a total reward of 17.0 | Running Average: 11.60
Episode  437 finished with a total reward of 10.0 | Running Average: 13.40
Episode  438 finished with a total reward of 20.0 | Running Average: 12.80
Episode  439 finished with a total reward of 19.0 | Running Average: 13.20
Episode  440 finished with a total reward of 12.0 | Running Average: 13.90
Episode  441 finished with a total reward of 15.0 | Running Average: 14.60
Episode  442 finished with a total reward of -4.0 | Running Average: 14.50
Episode  443 finished with a total reward of 3.0 | Running Average: 12.40
Episode  444 finished with a total reward of 18.0 | Running Average: 11.70
Episode  445 finished with a total reward of 13.0 | Running Average: 12.30
Episode  446 finished with a total reward of -13.0 | Running Average: 12.30
Episode  447 finished with a total reward of 11.0 | Running Average: 9.30
Episode  448 finished with a total reward of -1.0 | Running Average: 9.40
Episode  449 finished with a total reward of 8.0 | Running Average: 7.30
Episode  450 finished with a total reward of -3.0 | Running Average: 6.20
Episode  451 finished with a total reward of -4.0 | Running Average: 4.70
Episode  452 finished with a total reward of 13.0 | Running Average: 2.80
Episode  453 finished with a total reward of -12.0 | Running Average: 4.50
Episode  454 finished with a total reward of 20.0 | Running Average: 3.00
Episode  455 finished with a total reward of -9.0 | Running Average: 3.20
Episode  456 finished with a total reward of 15.0 | Running Average: 1.00
Episode  457 finished with a total reward of -8.0 | Running Average: 3.80
Episode  458 finished with a total reward of -8.0 | Running Average: 1.90
Episode  459 finished with a total reward of -16.0 | Running Average: 1.20
Episode  460 finished with a total reward of -1.0 | Running Average: -1.20
Episode  461 finished with a total reward of 5.0 | Running Average: -1.00
Episode  462 finished with a total reward of 14.0 | Running Average: -0.10
Episode  463 finished with a total reward of 8.0 | Running Average: 0.00
Episode  464 finished with a total reward of 19.0 | Running Average: 2.00
Episode  465 finished with a total reward of 2.0 | Running Average: 1.90
Episode  466 finished with a total reward of 3.0 | Running Average: 3.00
Episode  467 finished with a total reward of 6.0 | Running Average: 1.80
